model,time_day,dataset,batching_type,batching_round_to_64,batch_size,computing_type,iteration,experiment_completed,submission_path,path,recompilation_counter,step_2_000_000_batching_time_mean,step_2_000_000_update_time_mean,step_2_000_000_batching_time_median,step_2_000_000_update_time_median,step_100_000_train_rmse,step_100_000_val_rmse,step_100_000_test_rmse,step_200_000_train_rmse,step_200_000_val_rmse,step_200_000_test_rmse,step_300_000_train_rmse,step_300_000_val_rmse,step_300_000_test_rmse,step_400_000_train_rmse,step_400_000_val_rmse,step_400_000_test_rmse,step_500_000_train_rmse,step_500_000_val_rmse,step_500_000_test_rmse,step_600_000_train_rmse,step_600_000_val_rmse,step_600_000_test_rmse,step_700_000_train_rmse,step_700_000_val_rmse,step_700_000_test_rmse,step_800_000_train_rmse,step_800_000_val_rmse,step_800_000_test_rmse,step_900_000_train_rmse,step_900_000_val_rmse,step_900_000_test_rmse,step_1_000_000_train_rmse,step_1_000_000_val_rmse,step_1_000_000_test_rmse,step_1_100_000_train_rmse,step_1_100_000_val_rmse,step_1_100_000_test_rmse,step_1_200_000_train_rmse,step_1_200_000_val_rmse,step_1_200_000_test_rmse,step_1_300_000_train_rmse,step_1_300_000_val_rmse,step_1_300_000_test_rmse,step_1_400_000_train_rmse,step_1_400_000_val_rmse,step_1_400_000_test_rmse,step_1_500_000_train_rmse,step_1_500_000_val_rmse,step_1_500_000_test_rmse,step_1_600_000_train_rmse,step_1_600_000_val_rmse,step_1_600_000_test_rmse,step_1_700_000_train_rmse,step_1_700_000_val_rmse,step_1_700_000_test_rmse,step_1_800_000_train_rmse,step_1_800_000_val_rmse,step_1_800_000_test_rmse,step_1_900_000_train_rmse,step_1_900_000_val_rmse,step_1_900_000_test_rmse,step_2_000_000_train_rmse,step_2_000_000_val_rmse,step_2_000_000_test_rmse
schnet,09_29_52__19_01_2025,aflow,static,True,128,gpu_a100,5,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_5/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_5/profiling_job.sh,402,0.002053037057042,0.004204044415355,0.001982688903809,0.003710269927979,0.17634794,0.18759397,0.21091733,0.13710979,0.15993224,0.17628721,0.12890908,0.14651535,0.18610698,0.10966943,0.12574217,0.17860522,0.10526913,0.12023154,0.17851566,0.0521912,0.12258378,0.19488317,0.09111374,0.11900187,0.17674609,0.07993027,0.11871032,0.17322894,0.07489218,0.1189613,0.17952345,0.06884274,0.11525975,0.16503708,0.06680451,0.11282685,0.18666048,0.06282783,0.11100571,0.19154771,0.06088024,0.11510031,0.19007337,0.05562163,0.11771132,0.18730612,0.05506101,0.12081188,0.17754455,0.05421443,0.11625862,0.16264443,0.0520378,0.11532745,0.16092394,0.05114421,0.0416134,0.16196202,0.05178143,0.1169827,0.16270523,0.04971486,0.10928516,0.15559138
schnet,09_29_52__19_01_2025,aflow,static,True,128,gpu_a100,6,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_6/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_6/profiling_job.sh,402,0.002067532335281,0.004229159145832,0.001998424530029,0.003730297088623,0.17634858,0.18752745,0.21148595,0.13673951,0.15992014,0.17554347,0.1295798,0.14685004,0.18732518,0.11004466,0.124809,0.16601746,0.09696211,0.12162415,0.1993471,0.0999624,0.11661857,0.16112913,0.09145476,0.11785144,0.17208449,0.08025392,0.11839986,0.19395065,0.07482998,0.11744167,0.19819015,0.06841254,0.11390118,0.16914576,0.0659915,0.0485497,0.16635193,0.06281886,0.1064152,0.0491079,0.06081331,0.10722203,0.17264372,0.0338725,0.10907587,0.18758358,0.05528781,0.11079175,0.047317,0.05410091,0.10958181,0.20080479,0.05080662,0.10902901,0.0440392,0.05206795,0.0415558,0.20534638,0.0520893,0.10506806,0.21124655,0.04988949,0.10686129,0.23296068
schnet,09_29_52__19_01_2025,aflow,static,True,128,gpu_a100,7,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_7/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_7/profiling_job.sh,402,0.002078950627446,0.004260033339739,0.002009630203247,0.003759622573853,0.176288,0.18759094,0.2117014,0.15080026,0.156736,0.17211793,0.11967405,0.13934009,0.17559536,0.10328353,0.1249786,0.18320393,0.09762421,0.12224532,0.18324303,0.0943709,0.12238891,0.0633603,0.09159994,0.12212471,0.0623685,0.07679556,0.11601242,0.16950514,0.07533237,0.11544218,0.18025015,0.06869977,0.11618978,0.17434613,0.06429763,0.1141448,0.18945584,0.06116819,0.11045271,0.17669798,0.05926002,0.10894039,0.1479964,0.05507676,0.0441362,0.1440452,0.05576984,0.10884583,0.14627755,0.05269038,0.11322274,0.15519698,0.0300433,0.11071043,0.14719454,0.05124717,0.1052889,0.1588247,0.0518993,0.10757037,0.15749182,0.048984,0.10726158,0.14921913
schnet,09_29_52__19_01_2025,aflow,static,True,128,gpu_a100,8,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_8/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_8/profiling_job.sh,402,0.002070376717806,0.004218455636024,0.001999855041504,0.003724336624146,0.17632198,0.1875782,0.2112768,0.13691612,0.0894332,0.17659919,0.12852998,0.14594633,0.18189525,0.11075699,0.12479162,0.16670613,0.09712584,0.12096206,0.19936807,0.09375378,0.12097918,0.1933061,0.09128421,0.12069928,0.22073391,0.0784088,0.11668285,0.1821563,0.07497372,0.0529105,0.19033717,0.06893865,0.11518605,0.18753754,0.0385876,0.11446238,0.20068828,0.06092951,0.10735002,0.1837456,0.0595958,0.1044085,0.16900366,0.0556169,0.10187631,0.15005271,0.05645616,0.10134428,0.1476541,0.05346374,0.10213471,0.14974318,0.0512666,0.10093627,0.14520261,0.05142428,0.09969855,0.14285843,0.05198631,0.0998441,0.13976331,0.0285685,0.09602093,0.13110087
schnet,09_29_53__19_01_2025,aflow,static,True,128,gpu_a100,9,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_9/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/gpu_a100/iteration_9/profiling_job.sh,402,0.002057592817903,0.004217578826427,0.001988649368286,0.003724813461304,0.17635099,0.18752038,0.21143337,0.1367514,0.0894438,0.17625986,0.12873809,0.1459403,0.18849238,0.11090196,0.1249664,0.17122811,0.09804611,0.12257724,0.1908078,0.09437795,0.12064283,0.19068308,0.09239718,0.11980323,0.19271923,0.07974055,0.11602851,0.15604395,0.07592586,0.11724739,0.1624406,0.07288571,0.1180977,0.14005669,0.06472858,0.11978973,0.15881108,0.06130768,0.11871513,0.15354463,0.0368954,0.11559165,0.14597629,0.05598545,0.10855686,0.1343835,0.05659541,0.10373076,0.13074586,0.05361691,0.10365603,0.13556934,0.05171422,0.10044503,0.13336965,0.05197086,0.09755216,0.1358364,0.05294892,0.09716092,0.14123254,0.04968548,0.09944071,0.14765999
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,0,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_0/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_0/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,1,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_1/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_1/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,2,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_2/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_2/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,3,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_3/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_3/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,4,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_4/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_4/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,5,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_5/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_5/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,6,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_6/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_6/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,7,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_7/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_7/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
schnet,09_29_53__19_01_2025,aflow,static,True,128,cpu,8,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_8/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/schnet/aflow/static/round_True/128/cpu/iteration_8/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,1,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_1/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_1/profiling_job.sh,1,0.000613788837314,0.002345489702225,0.000603437423706,0.002311706542969,0.35222268,0.33782557,0.2609915,0.21001039,0.20671942,0.21058786,0.16320059,0.16113345,0.15865755,0.14578071,0.14428639,0.14309021,0.12325591,0.12590826,0.12295996,0.13931054,0.14007281,0.1047728,0.0782642,0.1192581,0.11471579,0.1115076,0.0875729,0.0873182,0.10336639,0.11061469,0.11529917,0.08480805,0.08771198,0.09419662,0.12679865,0.127359,0.13045018,0.0579062,0.08037991,0.0819368,0.06998496,0.07531933,0.07561714,0.06855384,0.07462215,0.07501817,0.06420356,0.07234706,0.0705441,0.0716599,0.07830575,0.07747815,0.05534954,0.06584382,0.06267659,0.06345004,0.07233804,0.07035948,0.0439802,0.0657853,0.06567298,0.06277764,0.07041895,0.06763622
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,2,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_2/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_2/profiling_job.sh,1,0.000630241845369,0.002403411736727,0.000621795654297,0.002408027648926,0.2446969,0.32716569,0.33380994,0.26134223,0.1875472,0.25630819,0.16301514,0.15843661,0.15752625,0.15629897,0.1569129,0.15806856,0.18232034,0.20126024,0.20005259,0.13681864,0.13838733,0.13896477,0.09908922,0.10138298,0.10467413,0.12036186,0.12360939,0.12397597,0.10318958,0.0791404,0.10727245,0.08185689,0.09014462,0.08704895,0.18010665,0.17996206,0.18050481,0.07900711,0.08408375,0.08307423,0.06597296,0.07215422,0.07216253,0.07347979,0.0552001,0.08408648,0.07255831,0.07972578,0.08030761,0.06361703,0.07088013,0.07583768,0.06123198,0.06589828,0.06391668,0.05941612,0.07038627,0.06634902,0.06184918,0.0482042,0.06908,0.0365962,0.05953422,0.06027319
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,3,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_3/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_3/profiling_job.sh,1,0.000644333432198,0.002454800188661,0.00063681602478,0.00244402885437,0.33161285,0.32900862,0.33598127,0.22414663,0.22479987,0.21968812,0.16158753,0.16084178,0.15625544,0.14882247,0.14561966,0.14644403,0.18043275,0.17606699,0.19946917,0.1232268,0.15573694,0.15727465,0.11060569,0.10994485,0.11055212,0.10140738,0.10481564,0.10499067,0.10350316,0.10370364,0.10602155,0.07636552,0.08210839,0.08087737,0.14635,0.17569597,0.17601789,0.07286773,0.07834327,0.07921816,0.06375784,0.07052746,0.07161016,0.06674246,0.07402502,0.07490341,0.06958632,0.07864258,0.07478694,0.05758125,0.06951903,0.07144395,0.0462266,0.06941128,0.0488592,0.05649246,0.06464674,0.06326972,0.05646435,0.06606786,0.06737965,0.04680882,0.05951337,0.05775184
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,4,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_4/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_4/profiling_job.sh,1,0.000630831736803,0.00239831120348,0.000623226165771,0.002405881881714,0.34396482,0.33624583,0.3471028,0.24728297,0.177394,0.24377232,0.16186412,0.15903332,0.15893636,0.14860488,0.15056928,0.14832291,0.12622015,0.12573572,0.12318205,0.14503766,0.14571559,0.14735955,0.10930495,0.10257369,0.10839304,0.10506679,0.0816297,0.10911837,0.0624352,0.10181521,0.09564777,0.08165577,0.08166129,0.08311486,0.0968267,0.12751194,0.13036251,0.07083072,0.0747043,0.052182,0.07506816,0.07848523,0.07837093,0.0696313,0.07530884,0.07489172,0.06635461,0.07293693,0.07407636,0.0418585,0.06735707,0.0443826,0.05957241,0.0707559,0.06844691,0.06042398,0.0713152,0.06591998,0.0712187,0.07918825,0.07821694,0.0503796,0.07255227,0.07112163
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,5,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_5/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_5/profiling_job.sh,1,0.000641000892758,0.002447307302952,0.000633001327515,0.002435207366943,0.32691073,0.32339856,0.329311,0.23592266,0.23087957,0.23320864,0.15833407,0.15614699,0.15785234,0.16422822,0.16562799,0.16625802,0.17016407,0.16947833,0.17157561,0.16928262,0.16734071,0.17347989,0.13661726,0.13368735,0.13227117,0.10728465,0.11237702,0.1112676,0.11201574,0.11518238,0.11540665,0.08296667,0.08902706,0.08855697,0.16431146,0.16417844,0.16595684,0.08426238,0.08932362,0.0654765,0.07425907,0.0799215,0.08164998,0.08578931,0.09103961,0.09237968,0.07171706,0.07811922,0.07789439,0.06333526,0.07391137,0.07228676,0.06527769,0.06926615,0.0485376,0.0542717,0.06372741,0.06423789,0.0476456,0.07064691,0.07178426,0.05077871,0.0389103,0.03988
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,6,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_6/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_6/profiling_job.sh,1,0.000645003352523,0.002427077404022,0.00063681602478,0.002415657043457,0.3188417,0.31445609,0.3300163,0.21958023,0.21724996,0.21622724,0.16880873,0.17131177,0.16278716,0.14007018,0.14009916,0.14019568,0.17517257,0.17329079,0.1849638,0.12092376,0.12183727,0.12097883,0.11269912,0.10641878,0.10777922,0.1258223,0.1018365,0.12812094,0.1111859,0.14248701,0.13997285,0.07887803,0.08588351,0.0841371,0.16263232,0.16215457,0.1637548,0.07944048,0.08440092,0.08514346,0.06206846,0.06903169,0.07073133,0.07765113,0.08371958,0.08252877,0.06663081,0.07588292,0.0736379,0.0538588,0.0408652,0.06188439,0.05609957,0.06675937,0.06349236,0.07414901,0.0801455,0.08191388,0.04790311,0.05951055,0.05665497,0.04662048,0.0571195,0.0368553
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,7,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_7/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_7/profiling_job.sh,1,0.000614242549539,0.002342911223769,0.000604391098022,0.002314805984497,0.3489282,0.33976163,0.35621404,0.1490641,0.2159519,0.21353749,0.16793505,0.16465319,0.16183152,0.14610027,0.144707,0.1479434,0.12039636,0.12221265,0.12070124,0.15143821,0.15277571,0.15229749,0.10118263,0.10200702,0.10409015,0.10860138,0.11268376,0.11111457,0.09878489,0.11293688,0.10072651,0.0559257,0.08599259,0.08474876,0.1553521,0.15359109,0.15409851,0.0619588,0.0632655,0.08656346,0.06976936,0.07421888,0.07655816,0.07304431,0.07975422,0.07891563,0.07049525,0.07844862,0.07932205,0.05388259,0.06308616,0.06339622,0.0599411,0.06886793,0.06860362,0.0554225,0.0666225,0.06707395,0.05107361,0.06212174,0.06066955,0.06262427,0.07264729,0.07144308
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,8,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_8/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_8/profiling_job.sh,1,0.000639688908219,0.002419455364585,0.00063157081604,0.002416133880615,0.33797705,0.32760845,0.3422971,0.209548,0.20752525,0.21158318,0.1573867,0.15594932,0.16064979,0.14534561,0.14411568,0.14247373,0.13055119,0.12982608,0.12721344,0.13026332,0.1320001,0.13363046,0.11010057,0.10921946,0.10388748,0.10683964,0.0826973,0.11016102,0.12008371,0.1240222,0.12355766,0.08498312,0.09042071,0.09016279,0.144921,0.17623836,0.17880489,0.06834788,0.07348442,0.07441422,0.070973,0.07619951,0.07718178,0.07758233,0.0814133,0.08438071,0.07849706,0.08481705,0.0605888,0.05462638,0.06130459,0.06347796,0.05897982,0.06578387,0.06836145,0.06496337,0.07260696,0.07441011,0.05131787,0.06010092,0.06101466,0.05244562,0.06105061,0.06128386
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,gpu_a100,9,True,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_9/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/gpu_a100/iteration_9/profiling_job.sh,1,0.000648197734475,0.002480662046194,0.000640630722046,0.002470970153809,0.32931016,0.32412662,0.2434665,0.24261798,0.23663513,0.23819259,0.15997267,0.15643386,0.15771132,0.1198979,0.15768749,0.15782322,0.15129975,0.15734698,0.1519009,0.17517102,0.16999678,0.17422689,0.09727929,0.09931798,0.10763628,0.1133333,0.11766452,0.11649911,0.10132315,0.11355691,0.0747295,0.08099353,0.0929913,0.08760929,0.1380295,0.16947507,0.17067584,0.09635825,0.10137438,0.10043803,0.09033811,0.09531152,0.09897611,0.06718199,0.07380928,0.07295064,0.07036912,0.07920751,0.07913488,0.06283869,0.07162325,0.07398777,0.07429785,0.0840483,0.0831683,0.0438956,0.06867624,0.07237737,0.0554963,0.07749273,0.07635935,0.05655794,0.0449554,0.06618052
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,cpu,0,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/cpu/iteration_0/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/cpu/iteration_0/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,cpu,1,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/cpu/iteration_1/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/cpu/iteration_1/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,cpu,2,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/cpu/iteration_2/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/cpu/iteration_2/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
MPEU,09_29_53__19_01_2025,qm9,dynamic,False,16,cpu,3,False,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/cpu/iteration_3/profiling_job.sh,/u/dansp/batching_2_000_000_steps_20_9_2024/profiling_experiments/MPEU/qm9/dynamic/round_False/16/cpu/iteration_3/profiling_job.sh,0,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
